Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:42:31.00,IMU,30.27,-41.50,-1056.15,-11.41,-4.71,5.66,-24.90,-39.15,-52.95,29.1
2026/04/15 14:42:31.10,IMU,205.08,573.24,-1572.75,-49.37,54.72,-3.69,-26.85,-36.75,-53.85,29.6
2026/04/15 14:42:31.20,IMU,-36.13,-16.11,-1058.11,-0.14,-2.44,0.85,-28.95,-36.75,-54.60,29.4
2026/04/15 14:42:31.30,IMU,-37.60,-33.20,-1024.90,1.73,0.96,2.68,-28.80,-36.60,-54.75,29.4
2026/04/15 14:42:31.40,IMU,68.85,-2.44,-1052.25,1.91,8.73,19.17,-29.40,-36.75,-54.30,29.5
2026/04/15 14:42:31.50,IMU,-40.53,-31.25,-1031.74,-1.85,0.47,-0.50,-29.10,-36.90,-51.60,29.1
2026/04/15 14:42:31.60,IMU,-28.32,-20.02,-1047.36,1.37,1.19,-2.42,-29.85,-36.15,-51.60,29.1
2026/04/15 14:42:31.71,IMU,-44.92,-19.53,-1041.99,1.24,0.63,0.27,-29.70,-35.55,-51.45,29.6
2026/04/15 14:42:31.81,IMU,-47.85,-25.39,-1036.13,-0.84,0.78,-1.26,-30.00,-36.30,-53.25,29.5
2026/04/15 14:42:31.91,IMU,-44.92,-32.23,-1042.48,-0.50,0.94,1.25,-29.10,-36.60,-53.40,29.0
2026/04/15 14:42:32.01,IMU,-30.76,-29.30,-1039.55,-1.07,-0.07,-2.39,-29.10,-37.35,-52.35,29.1
2026/04/15 14:42:32.11,IMU,-41.02,-40.04,-1042.48,1.05,1.37,0.53,-28.50,-35.70,-51.90,29.4
2026/04/15 14:42:32.21,IMU,-55.66,-43.46,-1051.27,-0.73,3.04,-2.31,-28.95,-37.05,-52.50,29.6
2026/04/15 14:42:32.31,IMU,-15.14,-30.27,-1032.23,-1.22,-3.65,1.66,-28.95,-35.55,-52.05,29.4
2026/04/15 14:42:32.41,IMU,-41.99,-39.06,-1038.09,1.11,1.63,0.01,-28.65,-36.00,-51.00,29.4
2026/04/15 14:42:32.51,IMU,-37.60,-38.09,-1040.04,-1.86,1.60,3.50,-28.05,-36.90,-52.50,29.6
2026/04/15 14:42:32.61,IMU,-32.71,-49.32,-1044.92,-0.46,1.24,0.34,-29.85,-36.60,-52.35,29.4
2026/04/15 14:42:32.71,IMU,-30.76,-24.41,-1035.16,-0.47,-0.95,-0.31,-28.50,-36.60,-51.90,29.4
2026/04/15 14:42:32.81,IMU,-39.55,-27.34,-1044.43,-0.05,0.83,3.27,-29.55,-37.65,-51.60,29.1
2026/04/15 14:42:32.91,IMU,-31.25,-28.32,-1041.02,-1.15,0.18,1.53,-28.95,-34.05,-51.75,29.5
2026/04/15 14:42:33.01,IMU,-39.06,-18.55,-1048.34,0.21,0.50,1.34,-30.60,-36.15,-51.90,29.4
2026/04/15 14:42:33.11,IMU,-43.95,-33.69,-1035.16,-1.83,1.80,0.88,-30.30,-36.90,-51.60,28.9
2026/04/15 14:42:33.21,IMU,-31.25,-27.83,-1047.85,-1.83,2.02,-0.97,-30.00,-36.75,-51.00,29.5
