Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:42:31.00,IMU,-46.88,-27.83,-1044.43,-1.57,-0.37,0.30,-9.30,-19.95,-58.65,31.0
2026/04/15 14:42:31.10,IMU,-51.27,-28.81,-1041.02,0.05,1.53,0.78,-9.00,-22.20,-59.40,31.0
2026/04/15 14:42:31.20,IMU,-48.34,-24.41,-1051.27,-0.42,0.40,-0.67,-9.90,-21.60,-59.25,31.0
2026/04/15 14:42:31.30,IMU,-46.88,-19.04,-1043.95,1.81,0.29,-1.65,-7.65,-19.35,-58.95,31.0
2026/04/15 14:42:31.40,IMU,-40.53,-23.44,-1033.69,-0.48,0.31,2.67,-9.90,-20.85,-59.25,31.0
2026/04/15 14:42:31.50,IMU,-35.64,-28.81,-1045.90,-0.36,0.96,-1.66,-10.80,-19.95,-59.10,31.0
2026/04/15 14:42:31.61,IMU,-24.41,-27.83,-1033.69,-1.38,1.01,1.03,-8.25,-21.45,-58.05,30.9
2026/04/15 14:42:31.71,IMU,-31.25,-43.46,-1041.50,-2.38,2.27,1.90,-8.40,-20.85,-59.25,31.2
2026/04/15 14:42:31.81,IMU,-40.04,-15.63,-1042.48,-0.41,2.01,-0.45,-8.70,-20.55,-60.00,31.1
2026/04/15 14:42:31.91,IMU,-31.25,-36.62,-1030.27,-1.42,3.52,0.44,-9.30,-20.70,-59.40,31.0
2026/04/15 14:42:32.01,IMU,-40.53,-30.27,-1041.02,-0.61,2.73,0.05,-9.30,-20.70,-58.05,31.0
2026/04/15 14:42:32.11,IMU,-58.11,-25.88,-1039.06,0.07,-1.99,-1.05,-8.40,-20.55,-58.50,30.9
2026/04/15 14:42:32.21,IMU,-47.85,-28.81,-1036.13,1.06,0.67,3.79,-9.00,-21.00,-58.65,31.2
2026/04/15 14:42:32.31,IMU,-51.76,-37.11,-1042.48,-0.47,0.44,1.62,-10.05,-20.70,-59.40,30.9
2026/04/15 14:42:32.41,IMU,-52.25,-31.74,-1041.50,1.18,0.44,-0.21,-9.60,-20.70,-59.85,31.3
2026/04/15 14:42:32.51,IMU,-43.46,-32.71,-1042.97,1.53,1.08,-0.82,-9.45,-21.60,-58.20,30.9
2026/04/15 14:42:32.61,IMU,-30.76,-36.62,-1034.67,-0.30,0.98,1.15,-9.00,-19.95,-60.45,31.2
2026/04/15 14:42:32.71,IMU,-45.41,-19.53,-1041.99,-1.27,2.32,-0.01,-9.00,-20.25,-58.05,30.7
2026/04/15 14:42:32.81,IMU,-44.43,-25.88,-1038.09,0.00,-0.19,-1.06,-9.15,-21.60,-58.95,31.0
2026/04/15 14:42:32.91,IMU,-45.90,-22.95,-1044.43,0.13,0.78,1.75,-9.15,-19.80,-58.95,31.0
2026/04/15 14:42:33.02,IMU,-36.13,-42.97,-1045.41,1.20,0.45,-0.70,-10.05,-20.70,-58.05,31.0
2026/04/15 14:42:33.12,IMU,-43.46,-28.81,-1051.27,-0.98,1.40,2.68,-8.10,-19.35,-59.55,31.2
2026/04/15 14:42:33.22,IMU,-31.74,-37.60,-1039.06,-0.87,0.29,-1.04,-9.45,-19.35,-57.45,30.8
2026/04/15 14:42:33.32,IMU,-34.18,-25.88,-1046.39,-1.66,2.07,-0.29,-9.30,-20.25,-59.10,31.2
