Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:42:31.00,IMU,-38.09,-36.62,-1054.69,-0.85,0.82,-1.37,-25.95,6.30,-51.60,29.8
2026/04/15 14:42:31.10,IMU,-37.11,-41.02,-1045.41,-0.71,-0.55,1.35,-27.15,6.15,-51.75,29.5
2026/04/15 14:42:31.20,IMU,-29.30,-33.69,-1047.36,-1.40,1.21,-0.96,-27.60,6.15,-51.00,29.6
2026/04/15 14:42:31.30,IMU,-19.04,-29.79,-1046.88,0.37,1.60,-1.49,-26.40,6.15,-51.45,29.5
2026/04/15 14:42:31.40,IMU,-26.37,-38.09,-1041.50,-0.23,-1.33,0.32,-25.35,6.15,-51.00,29.6
2026/04/15 14:42:31.50,IMU,-21.97,-33.69,-1033.20,-0.16,0.21,-2.35,-27.30,6.30,-51.60,29.6
2026/04/15 14:42:31.60,IMU,-26.86,-35.16,-1039.06,-0.06,1.38,2.74,-25.05,7.65,-52.05,29.6
2026/04/15 14:42:31.71,IMU,-18.07,-25.39,-1042.97,-0.79,0.82,1.89,-26.10,6.90,-52.05,29.5
2026/04/15 14:42:31.81,IMU,-36.62,-37.60,-1041.50,-0.60,1.41,-0.65,-26.70,5.55,-52.35,29.6
2026/04/15 14:42:31.91,IMU,-35.16,-40.04,-1041.02,-1.65,0.45,-1.30,-26.40,6.60,-51.45,29.6
2026/04/15 14:42:32.01,IMU,-39.06,-30.76,-1042.48,-1.47,3.42,-0.21,-26.25,5.55,-50.85,29.9
2026/04/15 14:42:32.11,IMU,-34.67,-23.93,-1033.20,0.92,1.36,0.74,-25.50,6.30,-51.30,29.6
2026/04/15 14:42:32.21,IMU,-23.93,-33.20,-1053.71,1.01,3.75,0.47,-26.25,6.30,-52.65,29.6
2026/04/15 14:42:32.31,IMU,-34.67,-38.57,-1041.99,0.01,1.01,2.10,-25.35,6.60,-51.45,29.6
2026/04/15 14:42:32.41,IMU,-28.81,-33.20,-1040.04,-0.34,1.08,0.79,-26.25,7.50,-52.35,29.6
