Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:42:31.00,IMU,224.61,-14.65,-987.79,7.57,20.77,0.37,-45.45,3.75,-56.25,29.8
2026/04/15 14:42:31.10,IMU,342.77,-12.21,-992.19,7.05,27.93,3.40,-48.15,3.90,-55.35,29.8
2026/04/15 14:42:31.20,IMU,308.59,-10.74,-1048.34,8.43,51.31,1.27,-51.75,3.90,-55.35,29.6
2026/04/15 14:42:31.30,IMU,482.42,2.93,-915.53,-0.91,22.94,2.51,-56.25,3.30,-52.35,29.7
2026/04/15 14:42:31.40,IMU,467.77,-5.37,-924.32,-3.10,7.73,3.42,-56.40,3.15,-53.25,29.7
2026/04/15 14:42:31.50,IMU,544.43,-50.78,-1082.52,20.84,96.91,5.33,-57.30,4.80,-51.30,29.6
2026/04/15 14:42:31.60,IMU,569.82,-54.69,-940.43,20.76,34.71,-5.95,-62.85,1.95,-47.10,29.8
2026/04/15 14:42:31.71,IMU,573.73,-99.61,-782.71,4.69,18.99,-12.21,-64.05,1.20,-44.70,29.4
2026/04/15 14:42:31.81,IMU,726.56,-58.59,-769.04,-5.17,19.02,-10.02,-63.75,2.55,-45.60,29.6
2026/04/15 14:42:31.91,IMU,740.72,-46.39,-711.91,-7.96,14.31,-9.04,-65.10,2.40,-43.20,29.5
2026/04/15 14:42:32.01,IMU,707.03,-10.74,-768.07,-6.75,20.98,-4.56,-66.00,4.05,-41.55,29.4
2026/04/15 14:42:32.11,IMU,757.32,12.70,-750.49,-3.02,10.92,-3.99,-65.85,5.40,-41.40,29.6
2026/04/15 14:42:32.21,IMU,763.67,-8.30,-682.13,-2.88,8.18,4.56,-67.65,4.20,-40.65,29.7
2026/04/15 14:42:32.31,IMU,724.61,-7.32,-625.49,-2.11,6.03,-0.23,-66.30,4.05,-40.50,29.6
2026/04/15 14:42:32.41,IMU,795.41,26.86,-638.18,-0.15,25.29,0.53,-66.90,4.65,-38.55,29.3
2026/04/15 14:42:32.51,IMU,724.12,-17.09,-594.73,-11.63,15.15,1.93,-68.85,6.00,-37.65,29.8
2026/04/15 14:42:32.61,IMU,804.69,34.18,-495.12,-6.58,32.43,15.85,-69.00,6.60,-35.40,29.8
2026/04/15 14:42:32.71,IMU,781.74,7.81,-653.81,4.33,10.84,6.92,-70.20,6.15,-35.70,29.6
2026/04/15 14:42:32.81,IMU,782.71,7.81,-575.68,7.44,4.30,1.35,-71.25,2.70,-33.60,29.4
2026/04/15 14:42:32.91,IMU,802.73,-21.00,-595.21,13.13,11.98,-1.95,-70.65,4.50,-33.00,29.7
2026/04/15 14:42:33.01,IMU,901.86,-6.84,-519.04,6.61,22.63,-10.46,-71.70,4.05,-34.50,29.6
2026/04/15 14:42:33.11,IMU,1011.23,-11.23,-578.13,5.54,15.81,-4.69,-72.15,4.80,-31.35,29.6
2026/04/15 14:42:33.21,IMU,868.65,4.39,-502.93,15.83,9.66,-1.18,-70.65,5.55,-30.90,29.4
2026/04/15 14:42:33.32,IMU,891.60,-26.86,-477.54,-4.83,15.89,-16.24,-71.55,4.65,-31.05,29.6
2026/04/15 14:42:33.42,IMU,914.55,21.48,-470.70,-23.70,7.93,-5.80,-72.60,5.40,-28.95,29.7
2026/04/15 14:42:33.52,IMU,927.25,101.56,-412.11,-0.79,15.75,2.44,-72.15,6.00,-28.05,29.6
2026/04/15 14:42:33.62,IMU,947.27,58.59,-389.65,-1.60,36.52,0.89,-73.35,6.15,-26.85,29.8
