Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:42:31.00,IMU,83.50,125.49,-1040.04,1.66,3.77,2.60,-35.85,5.70,-58.20,29.6
2026/04/15 14:42:31.10,IMU,21.48,130.37,-1062.01,-4.76,-6.69,1.07,-36.75,7.05,-57.00,29.7
2026/04/15 14:42:31.20,IMU,89.36,88.38,-1043.95,9.78,0.33,-21.76,-35.55,7.35,-58.50,29.6
2026/04/15 14:42:31.30,IMU,24.90,59.08,-971.19,-2.47,0.61,13.63,-35.70,6.00,-60.45,29.6
2026/04/15 14:42:31.40,IMU,43.95,135.25,-1075.68,-13.60,4.81,0.43,-36.90,6.15,-58.50,29.6
2026/04/15 14:42:31.50,IMU,98.63,141.11,-1024.90,4.47,0.94,0.56,-35.70,6.75,-59.10,29.8
2026/04/15 14:42:31.60,IMU,19.04,117.19,-1025.39,10.02,2.16,-6.05,-36.15,6.90,-59.25,29.8
2026/04/15 14:42:31.71,IMU,68.85,90.82,-1025.88,-2.93,0.45,-5.18,-36.90,6.60,-58.50,29.6
2026/04/15 14:42:31.81,IMU,51.27,104.00,-1094.73,-0.89,-1.21,7.24,-35.55,6.90,-57.75,29.3
2026/04/15 14:42:31.91,IMU,88.38,126.95,-1095.70,-9.11,-11.27,-4.76,-35.85,6.60,-58.95,29.7
2026/04/15 14:42:32.01,IMU,2.44,121.09,-1010.25,13.46,-14.63,-2.39,-35.10,7.35,-58.20,29.7
2026/04/15 14:42:32.11,IMU,-29.79,70.31,-998.05,14.17,-3.57,1.68,-33.30,4.95,-56.70,29.6
2026/04/15 14:42:32.21,IMU,55.66,19.53,-996.09,13.03,-6.70,3.76,-32.40,5.25,-59.85,29.6
2026/04/15 14:42:32.31,IMU,-14.16,92.29,-1094.73,-7.36,-5.08,-7.44,-32.70,4.50,-59.85,29.7
2026/04/15 14:42:32.41,IMU,-175.78,12.21,-900.88,9.63,-7.03,3.76,-32.55,3.45,-58.50,29.8
2026/04/15 14:42:32.51,IMU,-37.60,83.01,-980.47,-2.71,-3.75,-3.09,-30.90,4.05,-59.10,29.6
2026/04/15 14:42:32.61,IMU,-33.69,13.67,-1047.85,1.15,1.77,2.44,-31.65,2.25,-59.40,29.6
2026/04/15 14:42:32.71,IMU,-65.92,13.67,-1005.86,6.87,-3.64,3.76,-31.35,3.30,-58.35,29.5
2026/04/15 14:42:32.81,IMU,-4.88,13.18,-1045.90,8.65,3.84,1.84,-31.80,2.70,-59.55,29.8
2026/04/15 14:42:32.91,IMU,-25.88,-4.39,-1045.90,0.40,0.63,-3.60,-33.15,3.30,-59.40,29.6
2026/04/15 14:42:33.01,IMU,-84.47,69.34,-942.38,-2.43,3.02,-14.55,-32.25,1.95,-59.25,29.6
2026/04/15 14:42:33.11,IMU,83.98,56.64,-685.06,-30.08,0.42,-34.18,-31.50,3.15,-60.00,29.9
2026/04/15 14:42:33.21,IMU,-144.04,-34.67,-1040.04,6.89,6.45,-5.52,-31.65,3.30,-59.10,29.6
2026/04/15 14:42:33.32,IMU,-35.64,-50.78,-1003.91,29.46,-1.49,10.25,-31.80,2.40,-58.50,29.6
2026/04/15 14:42:33.42,IMU,34.67,-47.85,-1101.07,-12.08,1.67,-3.57,-30.45,2.40,-60.30,29.4
2026/04/15 14:42:33.52,IMU,-30.76,-13.18,-1104.49,-7.18,-13.02,11.15,-31.50,2.70,-59.25,29.8
2026/04/15 14:42:33.62,IMU,-41.99,-1.46,-1047.36,-7.10,-9.33,0.85,-30.60,2.55,-58.05,29.8
2026/04/15 14:42:33.72,IMU,-53.22,23.44,-1028.32,-2.92,5.27,4.48,-30.60,3.00,-59.40,29.6
2026/04/15 14:42:33.82,IMU,-24.90,60.06,-1037.11,16.31,-10.15,8.19,-29.10,2.25,-59.85,29.7
2026/04/15 14:42:33.92,IMU,-16.60,11.23,-1052.25,15.63,10.84,-6.05,-30.90,1.80,-58.65,29.8
2026/04/15 14:42:34.02,IMU,-27.34,-87.89,-1077.64,40.45,1.01,-2.46,-30.45,-1.65,-58.95,29.4
2026/04/15 14:42:34.12,IMU,25.39,-160.16,-1093.26,84.60,5.56,-17.84,-31.50,-6.15,-60.30,29.5
2026/04/15 14:42:34.22,IMU,16.60,-332.52,-1216.31,71.01,35.23,-23.69,-31.20,-12.60,-62.10,29.7
2026/04/15 14:42:34.32,IMU,27.83,-425.29,-908.69,78.30,-2.82,-7.28,-32.10,-19.20,-60.45,29.6
2026/04/15 14:42:34.42,IMU,88.38,-476.56,-947.27,71.05,7.74,16.32,-32.10,-25.20,-59.85,29.8
2026/04/15 14:42:34.52,IMU,32.71,-658.69,-763.18,65.53,-18.42,3.02,-32.55,-30.30,-57.45,29.4
2026/04/15 14:42:34.62,IMU,-79.59,-726.07,-696.78,58.89,-3.11,-0.82,-30.00,-36.00,-55.65,29.8
2026/04/15 14:42:34.72,IMU,-50.78,-758.30,-690.43,33.47,-6.99,-2.89,-28.50,-38.10,-53.70,29.6
2026/04/15 14:42:34.82,IMU,13.67,-814.94,-650.39,57.11,-8.98,-4.34,-28.50,-41.85,-51.90,29.6
2026/04/15 14:42:34.93,IMU,17.58,-807.62,-727.54,54.17,4.16,-8.37,-29.70,-46.20,-49.65,29.6
2026/04/15 14:42:35.03,IMU,-128.42,-960.45,-348.63,34.39,-9.10,-1.35,-30.75,-49.20,-47.10,29.4
2026/04/15 14:42:35.13,IMU,68.85,-962.89,-408.69,17.35,19.17,0.55,-30.45,-50.25,-43.95,29.8
2026/04/15 14:42:35.23,IMU,82.52,-927.25,-440.43,21.91,-2.35,7.66,-30.90,-51.60,-43.35,29.4
2026/04/15 14:42:35.33,IMU,5.86,-963.38,-482.91,11.51,-5.14,0.03,-30.45,-53.70,-42.15,29.5
2026/04/15 14:42:35.43,IMU,-57.62,-852.05,-3.42,-8.72,-0.18,18.11,-30.60,-54.30,-40.95,29.7
2026/04/15 14:42:35.53,IMU,-53.22,-1055.66,-263.18,48.56,16.37,0.59,-29.85,-54.30,-40.50,29.8
